url	title	indirizzo	keyword_ristorante	ranking	total_ranking
https://www.ubereats.com/milano/food-delivery/pasta-mi/4o8aHjg9TdmHO2F2TDTcSg	Pasta Mi	Piazzale Francesco Baracca, 6,, Milano, 20123	Pasta • Italian • Mediterranean • Allergy Friendly	View delivery time and booking fee.	Enter your delivery address
https://www.ubereats.com/milano/food-delivery/da-noi-2/3O-TkyOcROavdgfpDHFgWg	Da Noi 2	Via Giosuè Borsi, 1, Milano, Lombardia 20143	$$ • Seafood • Pasta • Steak	View delivery time and booking fee.	Enter your delivery address
https://www.ubereats.com/milano/food-delivery/green-day-natural-food-%26-bar/rVGQiFJ2TQ-D4Bim1WRzZQ	Green Day - Natural Food & Bar	Via S. Vito, 26, Milano, Lombardia 20123	$ • Salads • Healthy • Vegan Friendly • Vegetarian Friendly	4.6	(14)
https://www.ubereats.com/milano/food-delivery/pizzeria-pulcinella/prh5DhwaSt-EkOZR7JBZRA	Pizzeria Pulcinella	Via Crema 23, Milano, 20135	$$ • Pizza • Italian • Friterie	4.7	(14)
https://www.ubereats.com/milano/food-delivery/salsamenteria-di-parma/LbJfSAXVTwmb_2HDzlUQMw	Salsamenteria di Parma	Via Ponte Vetero, 11, Milano, Lombardia 20121	$ • Italian • Mediterranean • Pasta	View delivery time and booking fee.	Enter your delivery address
https://www.ubereats.com/milano/food-delivery/piadineria-la-caveja-piazza-napoli/NmzjcqliSLW58pNEcCV8rg	Piadineria La Caveja - Piazza Napoli	Piazza Napoli, 21, Milano, Lombardia 20146	$ • Sandwich • Italian • Street Food	4.9	(13)
https://www.ubereats.com/milano/food-delivery/istanbul-taxim-uno/Vq1SFbK8RaiQyHVRyi9FZA	Istanbul TAXIM uno	Via Giuseppe Meda, 57, Milano, Lombardia 20141	$$ • Pizza • Street Food • Sandwich	View delivery time and booking fee.	Enter your delivery address
https://www.ubereats.com/milano/food-delivery/la-piadineria-galleria-de-cristoforis/erSla-g_T2uGaTIP22dYRA	La Piadineria - Galleria De Cristoforis	La Piadineria - Galleria De Cristoforis, Milano, Lombardia 20122	$ • Italian • Healthy • Mediterranean • Sandwich	View delivery time and booking fee.	Enter your delivery address
https://www.ubereats.com/milano/food-delivery/aktar-minimarket/E00j-eKrRjOtp_l6J3s6ZA	Aktar Minimarket	Via Carlo D'Adda, 13, Milano, Lombardia 20143	$ • Alcohol • Grocery • Italian • Mediterranean • Everyday Essentials	View delivery time and booking fee.	Enter your delivery address
https://www.ubereats.com/milano/food-delivery/hamericas-solari/YAlfc6KaQXGW3fOEAOHixw	Hamerica's - Solari	Via Andrea Solari, 34, Milano, Lombardia 20144	$$ • American • Traditional American • Burgers	4.4	(91)
https://www.ubereats.com/milano/food-delivery/prima-comfort-food-%26-bar/DYoPzDkVRG6lMtKluU_46g	Prima - Comfort Food & Bar	Via Casale, 7, Milano, Lombardia 20144	$ • Italian • Pizza	4.8	(19)
https://www.ubereats.com/milano/food-delivery/lato-mare-milano/_BiXVGGzTVWb0ggC2-CEPA	Lato Mare Milano	Via Caminadella, 2, Milano, 20123	$ • Italian • Mediterranean • Seafood • Flour based food • Sandwich • Allergy Friendly	4.6	(13)
https://www.ubereats.com/milano/food-delivery/mcdonalds-via-dante/E8a-vQU1RFOfym3YZEdomQ	McDonald's® - Via Dante	Via Dante, Milano,	$ • Wings • Fast Food • American	View delivery time and booking fee.	Enter your delivery address
https://www.ubereats.com/milano/food-delivery/acero-sushi%26ravioli-montenero/JrYkx7muRO-b97sXof6coQ	Acero - Sushi&Ravioli - Montenero	Viale Monte Nero, 29, Milano, 20135	$ • Chinese • Sushi • Japanese • Vegetarian	3.8	(19)
