url	title	macro_area	indirizzo	keyword_ristorante	orario_apertura	ranking	total_ranking
https://deliveroo.it/menu/milano/bocconi/la-piadineria-bocconi?day=today&geohash=u0nd8be8xnqv&time=ASAP	La Piadineria	Bocconi	Viale Bligny, 26, Milano, 20126	['Italiano', 'Piadina']	Aperti fino alle 21:00	4.6	50+ 
https://deliveroo.it/menu/milano/ticinese/ichi-station-viale-col-di-lana?day=today&geohash=u0nd8be8xnqv&time=ASAP	Ichi Station	Ticinese	Viale Col di Lana 3, Milano, 20136	['Sushi', 'Giapponese']	Aperti fino alle 22:20	4.6	50+ 
https://deliveroo.it/menu/milano/darsena/panino-giusto-xxiv-maggio0808?day=today&geohash=u0nd8be8xnqv&time=ASAP	Panino Giusto	Darsena	Piazza XXIV Maggio 4, Milano, 20100	['Italiano', 'Sandwich', 'Insalate']	Aperti fino alle 23:59	4.6	50+ 
https://deliveroo.it/menu/milano/tortona/omacase-sushiteca?day=today&geohash=u0nd8be8xnqv&time=ASAP	Sushiteca O.ma.ca.sè	Tortona	Corso C. Colombo 1, Milano, 20144	['Sushi', 'Giapponese']	Aperti fino alle 21:30	4.6	50+ 
https://deliveroo.it/menu/milano/missori/starbucks-porta-romana?day=today&geohash=u0nd8be8xnqv&time=ASAP	Starbucks	Missori	Via Lentasio, 1, Milano, 20122	['Americano', 'Caffè', 'Smoothie', 'Bakery']	Aperti fino alle 18:30	4.6	50+ 
https://deliveroo.it/menu/milano/bocconi/delicious-bao-bing?day=today&geohash=u0nd8be8xnqv&time=ASAP	Delicious Bao Bing	Bocconi	Viale Bligny 26, Milano, 20136	['Cinese', 'Dim Sum', 'Pasta']	Aperti fino alle 22:30	4.6	50+ 
https://deliveroo.it/menu/milano/navigli/gelateria-orso-bianco?day=today&geohash=u0nd8be8xnqv&time=ASAP	Gelateria Orso Bianco	Navigli	Via Casale, 7, Milano, 20144	['Italiano', 'Dessert', 'Gelato']	Aperti fino alle 23:59	4.6	50+ 
https://deliveroo.it/menu/milano/darsena/frankies-ticinese?day=today&geohash=u0nd8be8xnqv&time=ASAP	Frankie's	Darsena	Corso di Porta Ticinese 89, Milano, 20123	['Sandwich', 'Insalate', 'Healthy', 'Italiano']	Aperti fino alle 19:00	4.6	50+ 
https://deliveroo.it/menu/milano/tortona/little-fish-poke-bowl?day=today&geohash=u0nd8be8xnqv&time=ASAP	Little Fish poke bowl	Tortona	Corso Cristoforo Colombo 3, Milano, 20144	['Sushi', 'Poke', 'Giapponese', 'Hawaiano']	Aperti fino alle 22:15	4.6	50+ 
https://deliveroo.it/menu/milano/bocconi/tsuru-sushi-allosteria?day=today&geohash=u0nd8be8xnqv&time=ASAP	Tsuru - Sushi All'Osteria	Bocconi	Via Giuseppe Lagrange, 13, Milano, 20136	['Sushi', 'Giapponese']	Aperti fino alle 23:00	4.6	50+ 
https://deliveroo.it/menu/milano/porta-romana/bar-quadronno?day=today&geohash=u0nd8be8xnqv&time=ASAP	Bar Quadronno	Porta Romana	Via Quadronno 34,, Milano, 20122	['Italiano', 'Sandwich', 'Vino']	Aperti fino alle 23:59	4.6	50+ 
https://deliveroo.it/menu/milano/de-angeli-ravizza/gelateria-rigoletto-piazza-po?day=today&geohash=u0nd8be8xnqv&time=ASAP	Gelateria Rigoletto	De Angeli - Ravizza	Piazza Po 10, Milano, 20144	['Italiano', 'Dessert', 'Gelato']	Aperti fino alle 22:00	4.6	50+ 
https://deliveroo.it/menu/milano/de-angeli-ravizza/carmen-gelato-ravizza?day=today&geohash=u0nd8be8xnqv&time=ASAP	Carmen Gelato	De Angeli - Ravizza	Via Ravizza 3, Milano, 20149	['Italiano', 'Dessert', 'Gelato', 'Vegano', 'Senza Glutine']	Aperti fino alle 01:00	4.6	50+ 
https://deliveroo.it/menu/milano/porta-romana/antica-pizzeria-fiorentina?day=today&geohash=u0nd8be8xnqv&time=ASAP	Antica Pizzeria Fiorentina	Porta Romana	Viale Bligny, 41, Milano, 20136	['Pizza', 'Italiano']	Aperti fino alle 23:00	4.6	50+ 
https://deliveroo.it/menu/milano/cinque-giornate/grhouse?day=today&geohash=u0nd8be8xnqv&time=ASAP	Grouse	Cinque Giornate	Viale Montenero 34, Milano, 20135	['Pollo', 'Sandwich', 'Italiano']	Aperti fino alle 22:59	4.6	50+ 
https://deliveroo.it/menu/milano/magenta/pizzeria-da-gino?day=today&geohash=u0nd8be8xnqv&time=ASAP	Pizzeria da Gino dal 1969	Magenta	Corso Vercelli 9, Milano, 20144	['Pizza', 'Italiano']	Aperti fino alle 20:30	4.6	50+ 
https://deliveroo.it/menu/milano/santambrogio/ravioleria-hui-hui?day=today&geohash=u0nd8be8xnqv&time=ASAP	Ravioleria Hui Hui	Sant'Ambrogio	Via Cesare Correnti 21, Milano, 20123	['Cinese', 'Dim Sum']	Aperti fino alle 21:45	4.6	50+ 
