url	title	indirizzo	keyword_ristorante	ranking	total_ranking	company	macro_area	orario_apertura	new_title	lat	lng	google_address	place_id	distanza	distanza_value	distanza_text	quantile
https://www.ubereats.com/milano/food-delivery/loft-pizza-%26-grill/PXqTLfFNSQKphoTdmb9aVw	Loft Pizza & Grill	Via Bernardino Verro 2 20141 Milano Mi Italia Italy 20141	Pizza	4.4		uber			loft pizza grill	45.4423037	9.1881724	Via Bernardino Verro, 2, 20141 Milano MI, Italy	ChIJt1gSig3EhkcR18OrB2LYv6I	{'text': '1.8 km', 'value': 1812}	1.8	1812	1_short
https://www.ubereats.com/milano/food-delivery/solopizza-cafe-solari/VareMMFkQwm2JEFQajuRfw	Solopizza Caf√© - Solari	Via Andrea Solari 6 20144 Milano Mi Italy	Pizza	4.4	(67)	uber			solopizza caf√© solari	45.4561061	9.1651173	Via Andrea Solari, 6, 20144 Milano MI, Italy	ChIJt2Cck-PDhkcRAAjyA8cfKNE	{'text': '3.5 km', 'value': 3515}	3.5	3515	3_long
https://www.ubereats.com/milano/food-delivery/pizza-fest-pizza-am-%26-piz-by-pasquale-pometto/i1YzEgoeTyyldmcSe4gQNg	Pizza Fest (Pizza AM & Piz) Ì†ºÌΩï by Pasquale Pometto	Via Torino 73 Milano Lombardia 20123	Pizza	4.4		uber			pizza fest pizza am piz by pasquale pometto	45.46050169999999	9.182129	Via Torino, 73, 20123 Milano MI, Italy	ChIJt2S8gV_BhkcR4zPcA305_8c	{'text': '3.0 km', 'value': 2953}	3.0	2953	2_average
https://www.ubereats.com/milano/food-delivery/bar-panda/gB1MkC7DSnejepi7CS7Geg	bar panda	Piazza Geremia Bonomelli 4 Milano 20139	Sushi	4.7	(15)	uber			bar panda	45.4413588	9.2138453	Piazza Geremia Bonomelli, 4, 20139 Milano MI, Italy	ChIJt7dSgzXFhkcRWfynJZbdSGQ	{'text': '4.1 km', 'value': 4128}	4.1	4128	4_far
https://www.ubereats.com/milano/food-delivery/pizzium-anfossi/cGCHB5hNScSZh8-llKZ6tA	Pizzium - Anfossi	Via Augusto Anfossi 1 Milano Lombardia 20135	Pizza	4.1	(200+)	uber			pizzium anfossi	45.4608072	9.208444	Via Augusto Anfossi, 1, 20135 Milano MI, Italy	ChIJtS7zMZ_GhkcRYmoF4rCSzt0	{'text': '4.2 km', 'value': 4201}	4.2	4201	4_far
https://www.ubereats.com/milano/food-delivery/sushi-sashimi/I6PvyXekTcWlDxMLRDsr4A	Sushi Sashimi	Via Andrea Solari 48 Milano 20144	Sushi	4.1		uber			sushi sashimi	45.4539822	9.1584778	Via Andrea Solari, 48, 20144 Milano MI, Italy	ChIJtU1HcufDhkcR5Jv3_Njs7cY	{'text': '2.9 km', 'value': 2925}	2.9	2925	2_average
https://www.ubereats.com/milano/food-delivery/italian-creative-salad/VPr5xyR6SDCbIUSdpfFJIA	Italian Creative Salad	Via Gerolamo Tiraboschi 1 Milano 20135	Healthy	4.5	(35)	uber			italian creative salad	45.4519077	9.20762	Via Gerolamo Tiraboschi, 1, 20135 Milano MI, Italy	ChIJtUejBMLFhkcRyLcaXHldfhU	{'text': '3.5 km', 'value': 3471}	3.5	3471	3_long
https://deliveroo.it/menu/milano/magenta/cannolino?day=today&geohash=u0nd8be8xnqv&time=ASAP	Vasoo #mangiareitaliano	Largo V Alpini 2 Milano 20144	Healthy	4.5	50+ 	delivero	Magenta	Aperti fino alle 21:00	vasoo mangiareitaliano	45.4723187	9.16798	Largo 5¬∫ Alpini, 2, 20145 Milano MI, Italy	ChIJteUepvbBhkcRnfkDqArvQ80	{'text': '4.4 km', 'value': 4389}	4.4	4389	4_far
https://www.ubereats.com/milano/food-delivery/unaltra-pasta-pinsa-romana/oBTo4VOUTDWadmX6XVhLcQ	Un'altra Pasta - Pinsa Romana	Via Bergamini 5 Milano Lombardia 20122	StreetFood	4.7	(14)	uber			un altra pasta pinsa romana	45.4619964	9.194073699999999	Via Bergamini, 5, 20122 Milano MI, Italy	ChIJty9QrqjGhkcRnon2THloH4I	{'text': '4.3 km', 'value': 4252}	4.3	4252	4_far
https://deliveroo.it/menu/milano/medaglie-doro/pizzeria-san-francesco-milano?day=today&geohash=u0nd8be8xnqv&time=ASAP	Pizzeria San Francesco	Viale Umbria 9 Milano 20135	Pizza	3.8	50+ 	delivero	Medaglie d'oro	Aperti fino alle 23:30	pizzeria san francesco	45.4485548	9.210792399999999	Viale Umbria, 9, 20135 Milano MI, Italy	ChIJu-cKG_vGhkcR-GY2-Ldo_BU	{'text': '3.3 km', 'value': 3306}	3.3	3306	3_long
